logged_at,symbol,kind,dimension,weight,score,live
2026-07-28,CAPLIPOINT,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-28,CAPLIPOINT,BUY CANDIDATE,valuation_sanity,5.0,0.7,True
2026-07-28,GRINDWELL,BUY CANDIDATE,catalyst,10.0,0.327,True
2026-07-28,GRINDWELL,BUY CANDIDATE,earnings_inflection,20.0,0.725,True
2026-07-28,GRINDWELL,BUY CANDIDATE,financial_strength_trend,10.0,0.755,True
2026-07-28,GRINDWELL,BUY CANDIDATE,governance,8.0,0.7,True
2026-07-28,GRINDWELL,BUY CANDIDATE,rs_and_stage,20.0,0.762,True
2026-07-28,GRINDWELL,BUY CANDIDATE,smart_money,12.0,0.508,True
2026-07-28,GRINDWELL,BUY CANDIDATE,theme_tailwind,15.0,0.537,True
2026-07-28,GRINDWELL,BUY CANDIDATE,valuation_sanity,5.0,0.45,True
2026-07-28,HSCL,RE-ENTRY WINDOW,catalyst,10.0,0.475,True
2026-07-28,HSCL,RE-ENTRY WINDOW,earnings_inflection,20.0,0.627,True
2026-07-28,HSCL,RE-ENTRY WINDOW,financial_strength_trend,10.0,0.717,True
2026-07-28,HSCL,RE-ENTRY WINDOW,governance,8.0,0.7,True
2026-07-28,HSCL,RE-ENTRY WINDOW,rs_and_stage,20.0,0.818,True
2026-07-28,HSCL,RE-ENTRY WINDOW,smart_money,12.0,0.697,True
2026-07-28,HSCL,RE-ENTRY WINDOW,theme_tailwind,15.0,0.3,True
2026-07-28,HSCL,RE-ENTRY WINDOW,valuation_sanity,5.0,0.7,True
2026-07-28,JINDALSAW,BUY CANDIDATE,catalyst,10.0,0.15,True
2026-07-28,JINDALSAW,BUY CANDIDATE,earnings_inflection,20.0,0.139,True
2026-07-28,JINDALSAW,BUY CANDIDATE,financial_strength_trend,10.0,0.661,True
2026-07-28,JINDALSAW,BUY CANDIDATE,governance,8.0,0.7,True
2026-07-28,JINDALSAW,BUY CANDIDATE,rs_and_stage,20.0,0.772,True
2026-07-28,JINDALSAW,BUY CANDIDATE,smart_money,12.0,0.79,True
2026-07-28,JINDALSAW,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-28,JINDALSAW,BUY CANDIDATE,valuation_sanity,5.0,0.7,True
2026-07-28,TMB,RE-ENTRY WINDOW,catalyst,10.0,0.15,True
2026-07-28,TMB,RE-ENTRY WINDOW,earnings_inflection,20.0,0.771,True
2026-07-28,TMB,RE-ENTRY WINDOW,financial_strength_trend,10.0,0.5,True
2026-07-28,TMB,RE-ENTRY WINDOW,governance,8.0,0.7,True
2026-07-28,TMB,RE-ENTRY WINDOW,rs_and_stage,20.0,0.832,True
2026-07-28,TMB,RE-ENTRY WINDOW,smart_money,12.0,0.772,True
2026-07-28,TMB,RE-ENTRY WINDOW,theme_tailwind,15.0,0.3,True
2026-07-28,TMB,RE-ENTRY WINDOW,valuation_sanity,5.0,0.7,True
2026-07-29,AVALON,BUY CANDIDATE,catalyst,10.0,0.0,True
2026-07-29,AVALON,BUY CANDIDATE,earnings_inflection,20.0,0.934,True
2026-07-29,AVALON,BUY CANDIDATE,financial_strength_trend,10.0,0.74,True
2026-07-29,AVALON,BUY CANDIDATE,governance,8.0,0.7,True
2026-07-29,AVALON,BUY CANDIDATE,rs_and_stage,20.0,0.991,True
2026-07-29,AVALON,BUY CANDIDATE,smart_money,12.0,0.442,True
2026-07-29,AVALON,BUY CANDIDATE,theme_tailwind,15.0,0.605,True
2026-07-29,AVALON,BUY CANDIDATE,valuation_sanity,5.0,0.05,True
2026-07-29,GAEL,BUY CANDIDATE,catalyst,10.0,0.0,True
2026-07-29,GAEL,BUY CANDIDATE,earnings_inflection,20.0,0.86,True
2026-07-29,GAEL,BUY CANDIDATE,financial_strength_trend,10.0,0.525,True
2026-07-29,GAEL,BUY CANDIDATE,governance,8.0,0.7,True
2026-07-29,GAEL,BUY CANDIDATE,rs_and_stage,20.0,0.778,True
2026-07-29,GAEL,BUY CANDIDATE,smart_money,12.0,0.672,True
2026-07-29,GAEL,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-29,GAEL,BUY CANDIDATE,valuation_sanity,5.0,0.55,True
2026-07-29,GOKULAGRO,BUY CANDIDATE,catalyst,10.0,0.206,True
2026-07-29,GOKULAGRO,BUY CANDIDATE,earnings_inflection,20.0,0.934,True
2026-07-29,GOKULAGRO,BUY CANDIDATE,financial_strength_trend,10.0,0.651,True
2026-07-29,GOKULAGRO,BUY CANDIDATE,governance,8.0,0.7,True
2026-07-29,GOKULAGRO,BUY CANDIDATE,rs_and_stage,20.0,0.95,True
2026-07-29,GOKULAGRO,BUY CANDIDATE,smart_money,12.0,0.517,True
2026-07-29,GOKULAGRO,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-29,GOKULAGRO,BUY CANDIDATE,valuation_sanity,5.0,0.95,True
2026-07-29,THANGAMAYL,RE-ENTRY WINDOW,catalyst,10.0,0.256,True
2026-07-29,THANGAMAYL,RE-ENTRY WINDOW,earnings_inflection,20.0,0.966,True
2026-07-29,THANGAMAYL,RE-ENTRY WINDOW,financial_strength_trend,10.0,0.389,True
2026-07-29,THANGAMAYL,RE-ENTRY WINDOW,governance,8.0,0.7,True
2026-07-29,THANGAMAYL,RE-ENTRY WINDOW,rs_and_stage,20.0,0.846,True
2026-07-29,THANGAMAYL,RE-ENTRY WINDOW,smart_money,12.0,0.852,True
2026-07-29,THANGAMAYL,RE-ENTRY WINDOW,theme_tailwind,15.0,0.3,True
2026-07-29,THANGAMAYL,RE-ENTRY WINDOW,valuation_sanity,5.0,0.95,True
2026-07-29,VTL,BUY CANDIDATE,catalyst,10.0,0.0,True
2026-07-29,VTL,BUY CANDIDATE,earnings_inflection,20.0,0.269,True
2026-07-29,VTL,BUY CANDIDATE,financial_strength_trend,10.0,0.712,True
2026-07-29,VTL,BUY CANDIDATE,governance,8.0,0.7,True
2026-07-29,VTL,BUY CANDIDATE,rs_and_stage,20.0,0.955,True
2026-07-29,VTL,BUY CANDIDATE,smart_money,12.0,0.263,True
2026-07-29,VTL,BUY CANDIDATE,theme_tailwind,15.0,0.728,True
2026-07-29,VTL,BUY CANDIDATE,valuation_sanity,5.0,0.55,True
2026-07-30,SENCO,RE-ENTRY WINDOW,catalyst,10.0,0.35,True
2026-07-30,SENCO,RE-ENTRY WINDOW,earnings_inflection,20.0,1.0,True
2026-07-30,SENCO,RE-ENTRY WINDOW,financial_strength_trend,10.0,0.175,True
2026-07-30,SENCO,RE-ENTRY WINDOW,governance,8.0,0.7,True
2026-07-30,SENCO,RE-ENTRY WINDOW,rs_and_stage,20.0,0.748,True
2026-07-30,SENCO,RE-ENTRY WINDOW,smart_money,12.0,0.505,True
2026-07-30,SENCO,RE-ENTRY WINDOW,theme_tailwind,15.0,0.3,True
2026-07-30,SENCO,RE-ENTRY WINDOW,valuation_sanity,5.0,0.95,True
2026-07-30,WELCORP,RE-ENTRY WINDOW,catalyst,10.0,0.965,True
2026-07-30,WELCORP,RE-ENTRY WINDOW,earnings_inflection,20.0,0.79,True
2026-07-30,WELCORP,RE-ENTRY WINDOW,financial_strength_trend,10.0,0.891,True
2026-07-30,WELCORP,RE-ENTRY WINDOW,governance,8.0,0.7,True
2026-07-30,WELCORP,RE-ENTRY WINDOW,rs_and_stage,20.0,0.842,True
2026-07-30,WELCORP,RE-ENTRY WINDOW,smart_money,12.0,0.815,True
2026-07-30,WELCORP,RE-ENTRY WINDOW,theme_tailwind,15.0,0.3,True
2026-07-30,WELCORP,RE-ENTRY WINDOW,valuation_sanity,5.0,0.95,True
2026-07-31,ALIVUS,BUY CANDIDATE,catalyst,10.0,0.15,True
2026-07-31,ALIVUS,BUY CANDIDATE,earnings_inflection,20.0,,False
2026-07-31,ALIVUS,BUY CANDIDATE,financial_strength_trend,10.0,,False
2026-07-31,ALIVUS,BUY CANDIDATE,governance,8.0,0.7,True
2026-07-31,ALIVUS,BUY CANDIDATE,rs_and_stage,20.0,0.894,True
2026-07-31,ALIVUS,BUY CANDIDATE,smart_money,12.0,0.568,True
2026-07-31,ALIVUS,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-31,ALIVUS,BUY CANDIDATE,valuation_sanity,5.0,0.55,True
2026-07-31,BHEL,BUY CANDIDATE,catalyst,10.0,0.18,True
2026-07-31,BHEL,BUY CANDIDATE,earnings_inflection,20.0,1.0,True
2026-07-31,BHEL,BUY CANDIDATE,financial_strength_trend,10.0,0.537,True
