symbol,company,industry,index_source,market_cap_cr_at_add,turnover_cr_at_add
AGIIL,Agi Infra Limited,,nse_gap,3787.0,24.96
VSTTILLERS,V.S.T Tillers Tractors Limited,,nse_gap,3776.0,2.97
ZOTA,Zota Health Care LImited,,nse_gap,3766.0,5.79
DIVGIITTS,Divgi Torqtransfer Systems Limited,,nse_gap,3725.0,13.32
POLYPLEX,Polyplex Corporation Limited,,nse_gap,3712.0,6.63
UNICHEMLAB,Unichem Laboratories Limited,,nse_gap,3704.0,4.8
ASHIANA,Ashiana Housing Limited,,nse_gap,3691.0,1.39
UNIPARTS,Uniparts India Limited,,nse_gap,3684.0,14.93
POCL,Pondy Oxides & Chemicals Limited,,nse_gap,3674.0,19.25
DBCORP,D.B.Corp Limited,,nse_gap,3672.0,1.48
PSPPROJECT,PSP Projects Limited,,nse_gap,3668.0,4.83
LUXIND,Lux Industries Limited,,nse_gap,3664.0,2.41
HEIDELBERG,HeidelbergCement India Limited,,nse_gap,3655.0,1.32
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,,nse_gap,3649.0,2.11
63MOONS,63 moons technologies limited,,nse_gap,3623.0,20.99
VSTIND,VST Industries Limited,,nse_gap,3613.0,2.63
STEELCAS,Steelcast Limited,,nse_gap,3603.0,3.1
TCPLPACK,TCPL Packaging Limited,,nse_gap,3593.0,2.25
GREENPLY,Greenply Industries Limited,,nse_gap,3583.0,2.38
SAMBHV,Sambhv Steel Tubes Limited,,nse_gap,3566.0,13.53
MUTHOOTMF,Muthoot Microfin Limited,,nse_gap,3541.0,8.65
GOPAL,Gopal Snacks Limited,,nse_gap,3519.0,4.48
JTEKTINDIA,Jtekt India Limited,,nse_gap,3513.0,1.76
WHEELS,Wheels India Limited,,nse_gap,3484.0,12.23
INDRAMEDCO,Indraprastha Medical Corporation Limited,,nse_gap,3389.0,6.08
VSSL,Vardhman Special Steels Limited,,nse_gap,3372.0,4.09
SMSPHARMA,SMS Pharmaceuticals Limited,,nse_gap,3370.0,5.01
CARYSIL,CARYSIL LIMITED,,nse_gap,3352.0,7.85
NPST,Network People Services Technologies Limited,,nse_gap,3337.0,5.54
RELTD,Ravindra Energy Limited,,nse_gap,3328.0,2.78
NITINSPIN,Nitin Spinners Limited,,nse_gap,3308.0,5.7
WONDERLA,Wonderla Holidays Limited,,nse_gap,3295.0,6.0
JUBLCPL,Jubilant Agri and Consumer Products Limited,,nse_gap,3282.0,1.19
MAYURUNIQ,Mayur Uniquoters Ltd,,nse_gap,3270.0,6.49
DREDGECORP,Dredging Corporation of India Limited,,nse_gap,3264.0,12.3
MMFL,MM Forgings Limited,,nse_gap,3258.0,10.76
WINDMACHIN,Windsor Machines Limited,,nse_gap,3255.0,1.86
VENUSPIPES,Venus Pipes & Tubes Limited,,nse_gap,3244.0,15.66
KKCL,Kewal Kiran Clothing Limited,,nse_gap,3189.0,1.67
NIITMTS,NIIT Learning Systems Limited,,nse_gap,3158.0,2.57
APCOTEXIND,Apcotex Industries Limited,,nse_gap,3148.0,9.11
FUSION,Fusion Finance Limited,,nse_gap,3148.0,11.87
PRINCEPIPE,Prince Pipes And Fittings Limited,,nse_gap,3132.0,4.73
