symbol,company,series,last_close,market_cap_cr,median_turnover_cr,median_trades,band_pct,gsm_stage,asm,exclude_reason,mcap_pending
MANORG,Mangalam Organics Limited,EQ,510.6,,0.774,560.0,5.0,,,5% circuit band — cannot exit on bad news,False
GOODYEAR,Goodyear India Limited,EQ,749.9,,0.772,713.0,20.0,,,"listed 130d ago — under a year of history, no trend to read",False
AYMSYNTEX,AYM Syntex Limited,EQ,254.4,1493.0,0.764,1150.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
YUKEN,Yuken India Limited,EQ,993.4,1352.0,0.761,637.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
CRSL,Cressanda Railway Solutions Limited,BE,2.76,,0.757,1746.0,5.0,,,"series BE (trade-to-trade / SME — not normal rolling settlement); 5% circuit band — cannot exit on bad news; price Rs2.76 below the Rs5 floor (tick size ~1% of price; the spread eats the edge); listed 11d ago — under a year of history, no trend to read; closed at circuit on 71% of sessions — a stop cannot fill in a locked market",False
INSUREIETF,,,15.35,,0.74,152.5,20.0,,,"not in the NSE equity master (ETF / REIT / InvIT — not a company); only 152 trades/day median — one operator's book, not a market",False
MAKEINDIA,,,168.4,,0.735,440.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
JYOTIRES,Jyoti Resins & Adhesives Limited,EQ,879.65,,0.731,833.5,20.0,,,"listed 11d ago — under a year of history, no trend to read",False
LEMERITE,Le Merite Exports Limited,EQ,20.97,,0.723,774.0,5.0,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging; 5% circuit band — cannot exit on bad news; listed 259d ago — under a year of history, no trend to read",False
GYFTR,Gyftr Limited,EQ,166.82,,0.72,750.0,20.0,,,"listed 49d ago — under a year of history, no trend to read",False
ALPL30IETF,,,27.96,,0.718,867.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
SESHAPAPER,Seshasayee Paper and Boards Limited,EQ,229.61,1441.0,0.713,1040.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
HONDAPOWER,Honda India Power Products Limited,EQ,2058.6,2085.0,0.708,464.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
KMSUGAR,K.M.Sugar Mills Limited,EQ,32.64,,0.703,1459.0,20.0,,ST Stage I,"ASM ST Stage I — surveillance: 100% margin, no intraday, no pledging",False
KAMAHOLD,Kama Holdings Limited,EQ,2374.6,,0.699,347.0,20.0,,,"listed 130d ago — under a year of history, no trend to read",False
A2ZINFRA,A2Z Infra Engineering Limited,EQ,16.63,,0.698,626.0,5.0,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging; 5% circuit band — cannot exit on bad news",False
