[397/651] ok    IDEA (1856 rows)
[398/651] ok    VOLTAS (1856 rows)
[399/651] ok    WAAREEENER (419 rows)
[400/651] ok    YESBANK (1856 rows)
[401/651] ok    ASKAUTOLTD (652 rows)
[402/651] ok    AXISCADES (1856 rows)
[403/651] ok    AARTIDRUGS (1856 rows)
[404/651] ok    AARTIPHARM (847 rows)
[405/651] ok    AVL (410 rows)
[406/651] ok    ADVENZYMES (1856 rows)
[407/651] ok    AEQUS (141 rows)
[408/651] ok    AETHER (1011 rows)
[409/651] ok    AHLUCONT (1856 rows)
[410/651] ok    AKUMS (473 rows)
[411/651] ok    APLLTD (1856 rows)
[412/651] ok    ALIVUS (1214 rows)
[413/651] ok    ALKYLAMINE (1856 rows)
[414/651] ok    AGL (1 rows)
[415/651] ok    ALOKINDS (1856 rows)
[416/651] ok    APOLLO (1856 rows)
[417/651] ok    ACI (895 rows)
[418/651] ok    ARVINDFASN (1810 rows)
[419/651] ok    ARVIND (1856 rows)
[420/651] ok    ASHAPURMIN (1856 rows)
[421/651] ok    ASHOKA (1856 rows)
[422/651] ok    ASTRAMICRO (1856 rows)
[423/651] ok    ATLANTAELE (189 rows)
[424/651] ok    AURIONPRO (1856 rows)
[426/651] ok    AVANTIFEED (1855 rows)
[427/651] ok    CCAVENUE (1856 rows)
[428/651] ok    AWFIS (522 rows)
[429/651] ok    AZAD (623 rows)
[430/651] ok    BAJAJELEC (1856 rows)
[431/651] ok    BALAMINES (1856 rows)
[432/651] ok    BALUFORGE (543 rows)
[433/651] ok    BANCOINDIA (1855 rows)
[434/651] ok    BIRLACORPN (1855 rows)
[435/651] ok    BBOX (1856 rows)
[436/651] ok    BLACKBUCK (401 rows)
[437/651] ok    BLUESTONE (217 rows)
[438/651] ok    BORORENEW (1856 rows)
[439/651] ok    CMSINFO (1115 rows)
[440/651] ok    CORONA (137 rows)
[441/651] ok    CSBBANK (1632 rows)
[442/651] ok    CAMPUS (1030 rows)
[443/651] ok    CRAMC (178 rows)
[444/651] ok    CAPILLARY (154 rows)
[445/651] ok    CELLO (656 rows)
[446/651] ok    CENTURYPLY (1855 rows)
[447/651] ok    CERA (1855 rows)
[448/651] ok    CRIZAC (246 rows)
[450/651] ok    DCBBANK (1856 rows)
[451/651] ok    DATAMATICS (1856 rows)
[452/651] ok    DIACABS (1856 rows)
[453/651] ok    DBL (1854 rows)
[454/651] ok    AGARWALEYE (348 rows)
[455/651] ok    DYNAMATECH (1855 rows)
[456/651] ok    EPL (1855 rows)
[457/651] ok    EDELWEISS (1856 rows)
[458/651] ok    EMIL (919 rows)
[459/651] ok    ELECTCAST (1856 rows)
[460/651] ok    ELLEN (251 rows)
[461/651] ok    EMBDL (1856 rows)
[462/651] ok    ENTERO (588 rows)
[463/651] ok    EIEL (397 rows)
[464/651] ok    EQUITASBNK (1404 rows)
[465/651] ok    ETHOSLTD (1014 rows)
[466/651] ok    EUREKAFORB (450 rows)
[467/651] ok    FEDFINA (642 rows)
[468/651] ok    FIEMIND (1856 rows)
[469/651] ok    FINPIPE (1854 rows)
[470/651] ok    UTLSOLAR (155 rows)
[471/651] ok    GHCL (1856 rows)
[472/651] ok    GMMPFAUDLR (1855 rows)
[473/651] ok    GMRP&UI (1060 rows)
[474/651] ok    GRWRHITECH (1092 rows)
[475/651] ok    GODREJAGRO (1856 rows)
[476/651] ok    GOKEX (1856 rows)
[477/651] ok    GOKULAGRO (1856 rows)
[478/651] ok    GREAVESCOT (1856 rows)
[479/651] ok    GAEL (1856 rows)
[480/651] ok    GNFC (1856 rows)
[481/651] ok    GPPL (1856 rows)
[482/651] ok    GSFC (1856 rows)
[483/651] ok    HGINFRA (1856 rows)
[484/651] ok    HAPPSTMNDS (1435 rows)
[485/651] ok    HCG (1856 rows)
[486/651] ok    HEMIPROP (1411 rows)
[487/651] ok    HERITGFOOD (1856 rows)
[488/651] ok    HCC (1856 rows)
[489/651] ok    IFBIND (1856 rows)
[490/651] ok    IIFLCAPS (1680 rows)
[491/651] ok    INOXINDIA (626 rows)
[492/651] ok    INDIAGLYCO (1856 rows)
[493/651] ok    INDIASHLTR (626 rows)
[494/651] ok    IMFA (1856 rows)
[495/651] ok    INDIGOPNTS (1341 rows)
[496/651] ok    ICIL (1856 rows)
[497/651] ok    INOXGREEN (894 rows)
[498/651] ok    IONEXCHANG (1078 rows)
[499/651] ok    JKLAKSHMI (1856 rows)
[500/651] ok    JKPAPER (1855 rows)
[501/651] ok    JAIBALAJI (1856 rows)
