symbol,company,score,coverage_pct,vetoed,assessed,veto_reasons,archetypes,arm,close,tag,rs_pctile,tt_checks,pct_below_52w_high,run_3m_pct,vol_expansion,ep,market_cap_cr,median_turnover_cr,median_trades,band_pct,circuit_frac,in_index_universe,atr,stop_suggested,stop_basis,risk_flags,tier,rank
NARMADA,Narmada Agrobase Limited,50.9,70.0,False,True,,,price+mcap,13.510000228881836,WATCH,57.8,3,40.2,-28.5,0.24,False,104.0,1.289,2353.0,20.0,0.0,False,0.77,11.59,2.5xATR (14% wide),,0,77
OMAXAUTO,Omax Autos Limited,50.9,90.0,False,True,,,mcap,183.07000732421875,WATCH,94.0,6,30.5,-15.6,0.49,False,410.0,0.958,1159.5,10.0,0.05,False,8.27,162.4,2.5xATR (11% wide),,0,78
JAICORPLTD,Jai Corp Limited,50.8,100.0,False,True,,,price,99.5199966430664,BROKEN,37.2,0,44.2,-12.2,0.82,False,1733.0,2.813,3112.0,20.0,0.0,False,2.48,93.32,2.5xATR (6% wide),,0,79
RUSHIL,Rushil Decor Limited,50.8,100.0,False,True,,Turnaround (margin-confirmed),price+mcap,16.010000228881836,BROKEN,20.6,0,52.9,4.8,0.52,False,478.0,0.585,1116.0,20.0,0.0,False,0.63,14.44,2.5xATR (10% wide),,0,80
ONWARDTEC,Onward Technologies Limited,50.7,100.0,False,True,,,mcap,284.3500061035156,WATCH,54.8,5,20.4,11.2,0.1,False,628.0,0.756,918.0,20.0,0.0,False,7.87,264.68,2.5xATR (7% wide),,0,81
SATIA,Satia Industries Limited,50.5,100.0,False,True,,,price+mcap,63.36000061035156,WATCH,37.7,3,26.3,15.8,1.01,False,568.0,0.531,992.0,20.0,0.0,False,2.26,57.71,2.5xATR (9% wide),,0,82
DEN,Den Networks Limited,50.4,100.0,False,True,,,price,27.96999931335449,WATCH,43.7,1,25.1,3.1,0.39,False,1354.0,0.757,1516.0,20.0,0.0,False,0.81,25.94,2.5xATR (7% wide),,0,83
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,50.4,100.0,False,True,,,price,74.44000244140625,WATCH,49.2,3,26.2,6.2,1.13,False,1133.0,0.618,1142.0,20.0,0.0,False,3.37,66.02,2.5xATR (11% wide),,0,84
SIGACHI,Sigachi Industries Limited,49.7,100.0,False,True,,Turnaround (unconfirmed),price,34.7400016784668,WATCH,93.5,5,25.7,64.6,3.03,False,1337.0,9.02,8823.0,20.0,0.0,False,2.23,29.17,2.5xATR (16% wide),promoter sold 3.8 pts in 4 quarters,0,85
TVSELECT,TVS Electronics Limited,49.2,100.0,False,True,,Deleveraging,mcap,420.8500061035156,WATCH,69.8,1,43.1,-9.2,0.36,False,820.0,1.417,1533.0,20.0,0.0,False,12.44,389.75,2.5xATR (7% wide),,0,86
