date,equity
2022-10-21,1625297.2925189731
2022-10-24,1616933.8769611118
2022-10-25,1622755.362808585
2022-10-27,1616334.8052524326
2022-10-28,1605357.5835422275
2022-10-31,1613160.445671439
2022-11-01,1604163.2391895053
2022-11-02,1605288.8389743564
2022-11-03,1603045.9642032383
2022-11-04,1609124.2363361118
2022-11-07,1609029.6789706943
2022-11-09,1603593.379730582
2022-11-10,1594017.8685077426
2022-11-11,1590903.7252876586
2022-11-14,1596817.7462074584
2022-11-15,1603151.7220146484
2022-11-16,1594443.7147819824
2022-11-17,1585470.1370537109
2022-11-18,1573939.6265022582
2022-11-21,1574472.9008705444
2022-11-22,1573452.5193550414
2022-11-23,1580219.7907173461
2022-11-24,1587362.9401542968
2022-11-25,1582281.1450340576
2022-11-28,1587161.684394104
2022-11-29,1583175.1049415893
2022-11-30,1582416.8616020507
2022-12-01,1586610.8074333495
2022-12-02,1597364.133361084
2022-12-05,1610114.1986610717
2022-12-06,1614451.5424110717
2022-12-07,1618321.0915233917
2022-12-08,1621982.8245556182
2022-12-09,1603934.9994518585
2022-12-12,1619400.7027523345
2022-12-13,1625718.1610576934
2022-12-14,1626813.272553665
2022-12-15,1617359.1925779919
2022-12-16,1609076.8696714977
2022-12-19,1617112.6381498913
2022-12-20,1629035.5063063244
2022-12-21,1599441.4827543835
2022-12-22,1575759.1549465484
2022-12-23,1525776.555772049
2022-12-26,1540692.5284206695
2022-12-27,1555718.804864151
2022-12-28,1575341.4420025176
2022-12-29,1576195.4031460113
2022-12-30,1581818.9226620025
2023-01-02,1587940.5559398956
2023-01-03,1592519.9985325164
2023-01-04,1599782.0213310546
2023-01-05,1602888.0793373412
2023-01-06,1597794.3798248596
2023-01-09,1588896.191550476
2023-01-10,1582665.1780212433
2023-01-11,1581845.966967395
2023-01-12,1577554.8090141327
2023-01-13,1585289.3119981796
2023-01-16,1577125.2956712754
2023-01-17,1581390.5568368942
2023-01-18,1588396.0047510178
2023-01-19,1596335.2792146713
2023-01-20,1597591.4005983383
2023-01-23,1598574.165433696
2023-01-24,1598280.2230966599
2023-01-25,1588869.2748773606
2023-01-27,1565952.2430913956
2023-01-30,1568731.9378850968
2023-01-31,1580133.645290187
2023-02-01,1546835.0015632934
2023-02-02,1549587.8556206054
2023-02-03,1544831.125319702
2023-02-06,1547692.4749901122
2023-02-07,1543888.1930305785
2023-02-08,1551214.9128792114
2023-02-09,1546629.2209007568
2023-02-10,1558071.0249397582
2023-02-13,1545079.9000029732
2023-02-14,1545419.1391387153
2023-02-15,1555776.5791106392
2023-02-16,1562261.1298155952
2023-02-17,1555076.1764998604
2023-02-20,1552698.9840058768
2023-02-21,1549712.2536297692
2023-02-22,1539948.8193199462
2023-02-23,1535388.7717888183
2023-02-24,1531291.7841865844
2023-02-27,1524932.0127174682
2023-02-28,1527951.2295568497
2023-03-01,1538231.3529928238
2023-03-02,1543392.3637426407
2023-03-03,1538278.6938512833
2023-03-06,1539892.2016474348
2023-03-08,1546139.3393108672
2023-03-09,1543564.4723315407
2023-03-10,1535922.136188047
2023-03-13,1507951.7933797324
2023-03-14,1503804.9342641318
2023-03-15,1520745.392882296
2023-03-16,1510051.2744512046
2023-03-17,1521507.3440846885
2023-03-20,1515696.2846102882
2023-03-21,1526387.5323748756
2023-03-22,1529554.5469393898
2023-03-23,1536827.4515338112
2023-03-24,1527003.978412168
2023-03-27,1517903.0160861183
2023-03-28,1517420.1239198446
2023-03-29,1535381.0992006063
2023-03-31,1548612.1834901571
2023-04-03,1537934.4674409628
2023-04-05,1551371.1750444174
2023-04-06,1562795.1116517782
2023-04-10,1559859.64527452
2023-04-11,1560195.3988221884
2023-04-12,1565013.5518869162
2023-04-13,1568020.4206670523
2023-04-17,1568248.051661849
2023-04-18,1562949.9708551168
2023-04-19,1566000.9424852133
2023-04-20,1574337.7563794851
2023-04-21,1570666.3205274343
2023-04-24,1568377.7193654776
2023-04-25,1573299.3293145895
2023-04-26,1574606.5457357168
2023-04-27,1577839.365414977
2023-04-28,1578861.188987136
2023-05-02,1590546.3235009909
2023-05-03,1602702.11610353
2023-05-04,1609066.557723403
2023-05-05,1599477.8128579855
2023-05-08,1609544.563763976
2023-05-09,1606841.9305070639
2023-05-10,1612372.723914504
2023-05-11,1627647.2040399313
2023-05-12,1634410.1325410604
2023-05-15,1654525.6220544577
2023-05-16,1661241.9892266989
2023-05-17,1654316.2541879416
2023-05-18,1653108.0284684896
2023-05-19,1653315.3376535177
2023-05-22,1655261.1713517904
2023-05-23,1661329.8615640402
2023-05-24,1661008.3976358175
2023-05-25,1679431.2799524069
2023-05-26,1682587.1775506735
2023-05-29,1686727.3415967906
2023-05-30,1709184.8469370943
2023-05-31,1726258.5394877535
2023-06-01,1723487.9750002963
2023-06-02,1734237.3221873385
2023-06-05,1741582.4072512728
2023-06-06,1765224.2675990206
2023-06-07,1774423.5057810885
2023-06-08,1765612.2888354403
2023-06-09,1769299.7486094576
2023-06-12,1790938.2960261446
2023-06-13,1799251.897432242
2023-06-14,1802669.64185134
2023-06-15,1803691.615719165
2023-06-16,1807671.1393092528
2023-06-19,1837095.060879077
2023-06-20,1849719.5903132812
2023-06-21,1846944.0431483642
2023-06-22,1848428.1554072753
2023-06-23,1841652.0010035888
2023-06-26,1865067.1676906005
2023-06-27,1892633.0134395019
2023-06-28,1902846.8578914062
2023-06-30,1901517.3210414306
2023-07-03,1910550.253094043
2023-07-04,1906811.213741626
2023-07-05,1911430.6510432616
2023-07-06,1921051.5321162597
2023-07-07,1911016.7334712401
2023-07-10,1888563.5360377685
2023-07-11,1906711.518719043
2023-07-12,1917430.2958796874
2023-07-13,1935249.3846858398
2023-07-14,1966910.5586970702
2023-07-17,1981144.4532130614
2023-07-18,1990537.08642229
2023-07-19,2008531.02442583
2023-07-20,2006125.6012385741
2023-07-21,2001293.0458033935
2023-07-24,2007301.7848018066
2023-07-25,2034825.528118457
2023-07-26,2044475.4092982665
2023-07-27,2048609.7116969482
2023-07-28,2051723.6764186278
2023-07-31,2057224.7912257568
2023-08-01,2082590.3742793456
2023-08-02,2087621.3041957275
2023-08-03,2096868.560665454
2023-08-04,2108689.607174243
2023-08-07,2119973.678142871
2023-08-08,2138182.1851924313
2023-08-09,2156536.9902919186
2023-08-10,2161281.71393999
2023-08-11,2172646.6575435055
2023-08-14,2182030.4872096432
2023-08-16,2241959.6817134274
2023-08-17,2255643.5096248044
2023-08-18,2215921.1202205075
2023-08-21,2235628.521358813
2023-08-22,2230772.250088061
2023-08-23,2253472.3899806393
2023-08-24,2299130.8128016843
2023-08-25,2331775.3833735837
2023-08-28,2338701.5386927975
2023-08-29,2313993.2742885007
2023-08-30,2293756.284740771
2023-08-31,2334945.934795703
2023-09-01,2343583.538219775
2023-09-04,2350854.290035571
2023-09-05,2340035.799206103
2023-09-06,2327206.19881853
2023-09-07,2335730.9783748044
2023-09-08,2347352.1312831296
2023-09-11,2349218.2601130856
2023-09-12,2280524.1487086667
2023-09-13,2282685.552761401
2023-09-14,2302733.8350642575
2023-09-15,2321529.862942065
2023-09-18,2303941.9883540524
2023-09-20,2297847.6944545163
2023-09-21,2284656.4414027585
2023-09-22,2275141.5440333737
2023-09-25,2264558.9113124264
2023-09-26,2274881.931530322
2023-09-27,2283622.250469531
2023-09-28,2281704.5988124264
2023-09-29,2275171.1392329587
2023-10-03,2264681.4829982175
2023-10-04,2273675.2627833737
2023-10-05,2309546.4987605466
2023-10-06,2312128.0342830075
2023-10-09,2290428.8415034665
2023-10-10,2296085.0946010007
2023-10-11,2297573.622143115
2023-10-12,2321536.865337695
2023-10-13,2324301.975582446
2023-10-16,2329363.471035327
2023-10-17,2341101.8684047116
2023-10-18,2345502.100002612
2023-10-19,2352168.5989726437
2023-10-20,2353094.590751971
2023-10-23,2261790.738817538
2023-10-25,2251638.5726340665
2023-10-26,2267549.3669608487
2023-10-27,2298307.128206576
2023-10-30,2326018.0381339444
2023-10-31,2363482.7787040127
2023-11-01,2349324.375704135
2023-11-02,2350833.843660678
2023-11-03,2365520.0450003995
2023-11-06,2386520.483614291
2023-11-07,2394264.531069125
2023-11-08,2416934.954416598
2023-11-09,2424263.723192538
2023-11-10,2437124.5288489712
2023-11-13,2474282.9879052807
2023-11-15,2511575.1943566967
2023-11-16,2541826.8414361645
2023-11-17,2600063.2152917553
2023-11-20,2593136.075048225
2023-11-21,2591958.3088681865
2023-11-22,2568264.0991628338
2023-11-23,2584684.5513494182
2023-11-24,2574378.5630033184
2023-11-28,2548241.6737630535
2023-11-29,2563552.361507194
2023-11-30,2592943.6394155193
2023-12-01,2592077.4036634136
2023-12-04,2587326.308406608
2023-12-05,2574241.4973867107
2023-12-06,2554308.0796239544
2023-12-07,2550962.016711967
2023-12-08,2559221.968391197
2023-12-11,2586107.0407979656
2023-12-12,2563736.051414268
2023-12-13,2572405.41832711
2023-12-14,2593145.8409230877
2023-12-15,2613464.87302758
2023-12-18,2595526.6006810833
2023-12-19,2597774.541309135
2023-12-20,2532764.3632772136
2023-12-21,2578830.6032331157
2023-12-22,2599643.686107414
2023-12-26,2591187.321487205
2023-12-27,2588071.2639959026
2023-12-28,2574641.1389730144
2023-12-29,2591270.744823234
2024-01-01,2612517.7936704326
2024-01-02,2626817.780826347
2024-01-03,2651621.505573051
2024-01-04,2664579.8898275066
2024-01-05,2677377.195003288
2024-01-08,2658932.4136312176
2024-01-09,2652986.4927175213
2024-01-10,2657860.214622276
2024-01-11,2694946.617431419
2024-01-12,2693514.4252240825
2024-01-15,2679996.6583516765
2024-01-16,2691002.108196037
2024-01-17,2674249.5632817913
2024-01-18,2678334.818164604
2024-01-19,2706774.4071309734
2024-01-23,2674439.4658086468
2024-01-24,2695555.6172597576
2024-01-25,2741193.4079854656
2024-01-29,2732167.2154119182
2024-01-30,2728423.0950963665
2024-01-31,2761300.7356984783
2024-02-01,2746412.2585256267
2024-02-02,2749708.2106816936
2024-02-05,2742602.3667600323
2024-02-06,2763822.3900182415
2024-02-07,2802070.733016746
2024-02-08,2827121.9504626645
2024-02-09,2827887.009189929
2024-02-12,2774722.9830325497
2024-02-13,2770153.7718699826
2024-02-14,2809598.9587716204
2024-02-15,2848336.958828841
2024-02-16,2880674.699967299
2024-02-19,2890355.894436751
2024-02-20,2875624.24204341
2024-02-21,2868632.99361888
2024-02-22,2890519.2441758257
2024-02-23,2909446.237656508
2024-02-26,2923918.43829814
2024-02-27,2909647.238766585
2024-02-28,2861045.6036156756
2024-02-29,2867349.8975571734
2024-03-01,2885270.1211175066
2024-03-04,2882086.687962447
2024-03-05,2871690.3313645464
2024-03-06,2807865.8059128863
2024-03-07,2810977.545681868
2024-03-11,2744643.7491540057
2024-03-12,2693273.9927453143
2024-03-13,2597434.4519509417
2024-03-14,2667425.208073531
2024-03-15,2658458.3937768084
2024-03-18,2672647.6027001482
2024-03-19,2657174.498806868
2024-03-20,2648224.7093247515
2024-03-21,2686783.149228011
2024-03-22,2713931.689824019
2024-03-26,2715517.889054213
2024-03-27,2743202.5426568133
2024-03-28,2757874.2586716753
2024-04-01,2799209.486916457
2024-04-02,2833340.8593987566
2024-04-03,2855087.4926423174
2024-04-04,2863817.744816695
2024-04-05,2873576.1081894976
2024-04-08,2882059.58648387
2024-04-09,2891236.2688988787
2024-04-10,2913052.4695176226
2024-04-12,2961096.3892373187
2024-04-15,2947252.45190898
2024-04-16,2993520.640389357
2024-04-18,3034280.877743636
2024-04-19,3040149.284634505
2024-04-22,3097939.702488814
2024-04-23,3110348.2558373553
2024-04-24,3086789.2122582537
2024-04-25,3075346.9855202776
2024-04-26,3070412.310881257
2024-04-29,3103128.7273851633
2024-04-30,3081330.629984498
2024-05-02,3107572.427652955
2024-05-03,3087704.7659174204
2024-05-06,3070075.425573945
2024-05-07,3045647.949377656
2024-05-08,3071554.5463625193
2024-05-09,3042974.2112909555
2024-05-10,3101735.049780488
2024-05-13,3091726.298094392
2024-05-14,3115141.02360785
2024-05-15,3155486.2337213755
2024-05-16,3164391.281256318
2024-05-17,3186219.982187867
2024-05-21,3184314.0321718454
2024-05-22,3189527.547033906
2024-05-23,3172880.5418878794
2024-05-24,3179835.667761445
2024-05-27,3201453.6989198923
2024-05-28,3169674.6287294626
2024-05-29,3171804.7921990496
2024-05-30,3138282.58037654
2024-05-31,3177346.395256911
2024-06-03,3244741.6562127215
2024-06-04,3078147.923581583
2024-06-05,3143445.0060095615
2024-06-06,3163878.0860266513
2024-06-07,3219198.706937296
2024-06-10,3228388.5840430087
2024-06-11,3300738.8229346103
2024-06-12,3346608.4298987216
2024-06-13,3380829.4342322177
2024-06-14,3369402.9959387607
2024-06-18,3374389.665708048
2024-06-19,3359357.6881689853
2024-06-20,3360984.0622839755
2024-06-21,3350692.425748331
2024-06-24,3347872.1404089755
2024-06-25,3351507.399198038
2024-06-26,3350361.2698340244
2024-06-27,3334967.6537756748
2024-06-28,3346838.233548624
2024-07-01,3403437.643186075
2024-07-02,3431852.957150919
2024-07-03,3444320.4565405673
2024-07-04,3480056.1929907626
2024-07-05,3487318.42147587
2024-07-08,3488084.9474158115
2024-07-09,3482983.9727454013
2024-07-10,3448317.470343232
2024-07-11,3448606.785376191
2024-07-12,3448640.6688905954
2024-07-15,3453823.3665834665
2024-07-16,3451249.4941513026
2024-07-18,3415225.665354916
2024-07-19,3341847.2257186854
2024-07-22,3362363.9148055995
2024-07-23,3359619.5529891932
2024-07-24,3428019.149790951
2024-07-25,3418687.545787045
2024-07-26,3446452.1296493495
