symbol,industry,index_source,turnover_cr,rs_blend_raw,rs_improving,stage,last_close,rs_pctile,tag
INDIAGLYCO,Fast Moving Consumer Goods,microcap250,24.6,1.285,False,3,1157.800048828125,75.814332247557,WATCH
GMDCLTD,Metals & Mining,smallcap250,61.13,1.281,False,1,562.5499877929688,75.57003257328991,WATCH
NLCINDIA,Power,midcap150,75.08,1.279,False,2,292.79998779296875,75.4071661237785,WATCH
GAEL,Fast Moving Consumer Goods,microcap250,19.93,1.278,False,2,151.63999938964844,75.1628664495114,WATCH
OPTIEMUS,Telecommunication,microcap250,20.02,1.278,True,3,599.9500122070312,75.1628664495114,WATCH
FINCABLES,Capital Goods,smallcap250,31.93,1.277,False,2,998.9000244140624,74.9185667752443,WATCH
SPLPETRO,Chemicals,smallcap250,11.17,1.276,False,2,741.5999755859375,74.7557003257329,WATCH
RBLBANK,Financial Services,smallcap250,249.84,1.274,False,2,352.8999938964844,74.5928338762215,WATCH
PHOENIXLTD,Realty,midcap150,194.8,1.273,False,2,2010.699951171875,74.42996742671009,CONFIRMED
ZENTEC,Capital Goods,smallcap250,102.96,1.272,False,2,1768.699951171875,74.185667752443,CONFIRMED
GOKEX,Textiles,microcap250,32.05,1.272,False,3,830.5,74.185667752443,WATCH
WOCKPHARMA,Healthcare,smallcap250,122.34,1.269,False,2,1849.199951171875,73.9413680781759,WATCH
DEEPAKFERT,Chemicals,smallcap250,41.45,1.268,False,2,1573.199951171875,73.7785016286645,WATCH
CUB,Financial Services,smallcap250,59.37,1.266,False,3,219.75,73.61563517915309,WATCH
IPCALAB,Healthcare,midcap150,55.07,1.265,False,2,1762.699951171875,73.45276872964169,CONFIRMED
EMIL,Consumer Services,microcap250,23.22,1.264,False,3,129.63999938964844,73.28990228013029,WATCH
JAMNAAUTO,Automobile and Auto Components,microcap250,26.02,1.263,False,2,132.6699981689453,73.1270358306189,CONFIRMED
EQUITASBNK,Financial Services,microcap250,28.54,1.261,False,2,78.33999633789062,72.9641693811075,CONFIRMED
TVSSCS,Services,microcap250,7.74,1.255,False,2,133.1300048828125,72.80130293159608,WATCH
JSWINFRA,Services,midcap150,133.91,1.254,False,2,322.70001220703125,72.63843648208469,WATCH
ALIVUS,Healthcare,microcap250,13.36,1.253,False,2,1101.199951171875,72.23127035830619,CONFIRMED
KEI,Capital Goods,midcap150,189.14,1.253,False,2,4868.0,72.23127035830619,WATCH
PRICOLLTD,Automobile and Auto Components,microcap250,34.06,1.253,False,3,628.7000122070312,72.23127035830619,WATCH
CREDITACC,Financial Services,smallcap250,49.06,1.253,False,2,1517.5999755859375,72.23127035830619,WATCH
